Bird_ID,Species,Ring,Date,Feather Type,Sample ID,dN15,% Nitrogen,dC13,% Carbon,CN 
35,Razorbill,M82382,12/06/15,Cheek, R35_C,17.79,13.85,-16.77,43.55,3.67
36,Razorbill,M82440,12/06/15,Cheek, R36_C,17.09,13.64,-17.08,43.45,3.72
39,Razorbill,M82482,16/06/15,Cheek, R39_C,17.75,13.22,-16.52,41.74,3.69
40,Razorbill,M82445,16/06/15,Cheek, R40_C,18.33,12.26,-16.54,39.54,3.76
41,Razorbill,M70281,13/06/15,Cheek, R41_C,18.24,21.67,-16.51,68.76,3.7
42,Razorbill,M82383,12/06/15,Cheek, R42_C,17.22,11.41,-17.27,36.7,3.75
43,Razorbill,M82439,12/06/15,Cheek, R43_C,17.82,12.92,-17.06,41.31,3.73
