ID,Species,Date,Ring,Rtype,weight,wing,Site,Breast,Cheek,Secondary,Inner.P,Outer.P,logger,sampleID,d13C,d15N,stdN,stdevC,F.type
2,Puffin,15/05/08,EW44533,NA,NA,NA,NA,NA,NA,1,NA,NA,6554,128,-18.47,11.64,NA,NA,Secondary
18,Puffin,19/05/08,EW44534,NA,NA,NA,NA,NA,NA,1,NA,NA,6541,137,-16.73,14.66,NA,NA,Secondary
32,Puffin,09/06/08,EW44511,NA,NA,NA,NA,NA,NA,1,NA,NA,6529,143,-16.43,13.73,NA,0.33,Secondary
111,Puffin,09/07/08,EW44525,NA,NA,NA,NA,NA,NA,1,NA,NA,6545,152,-15.34,12.64,0.12,0.01,Secondary
36,Puffin,15/05/08,EW44528,NA,NA,NA,NA,NA,NA,1,NA,NA,6555,122,-16.4,5.39,0.66,0.08,Secondary
