Bird_ID,Species,Ring,Date,Feather Type,Sample ID,dN15,% Nitrogen,dC13,% Carbon,CN 
35,Razorbill,M82382,12/06/2015,Body, R35_BA,15.22,12.77,-17.99,39.55,3.61
36,Razorbill,M82440,12/06/2015,Body, R36_BA,15.31,14.26,-17.72,43.72,3.58
38,Razorbill,M82443,20/06/2015,Body, R38_BA,15.76,15.48,-16.32,47.5,3.58
39,Razorbill,M82482,16/06/2015,Body, R39_BA,16.49,14.78,-16.48,45.26,3.57
40,Razorbill,M82445,16/06/2015,Body, R40_BA,15.55,14.66,-16.18,45.33,3.61
41,Razorbill,M70281,13/06/2015,Body, R41_BA,17.12,8.52,-16.54,26.4,3.61
42,Razorbill,M82383,12/06/2015,Body, R42_BA,16.11,13.93,-16.51,42.71,3.58
43,Razorbill,M82439,12/06/2015,Body, R43_BA,16.62,13.57,-16.48,42.12,3.62
44,Razorbill,M82321,26/06/2015,Body, R44_BA,15.61,11.85,-16.01,36.57,3.6
