Bird_ID,Species,Ring,Date,Feather Type,Sample ID,dN15,% Nitrogen,dC13,% Carbon,CN 
60,Puffin,EW44848,june,cheek, P60_C,16.43,14.64,-16.46,45.78,3.65
63,Puffin,EW52379,june,cheek, P63_C,16.41,14.2,-16.44,44.4,3.65
65,Puffin,EW73144,june,cheek, P65_C,16.57,13.42,-16.93,44.35,3.86
