SubArea,Year,Quarter,Long ,Lat
4.80E+10,2015,1,-0.5,59.75
48F0,2015,1,0.5,59.75
48F1,2015,1,1.5,59.75
48F2,2015,1,2.5,59.75
48F3,2015,1,3.5,59.75
48F4,2015,1,4.5,59.75
48F5,2015,1,5.5,59.75
48F6,2015,1,6.5,59.75
4.70E+09,2015,1,-1.5,59.25
4.70E+10,2015,1,-0.5,59.25
47F0,2015,1,0.5,59.25
47F1,2015,1,1.5,59.25
47F2,2015,1,2.5,59.25
47F3,2015,1,3.5,59.25
47F4,2015,1,4.5,59.25
47F5,2015,1,5.5,59.25
47F6,2015,1,6.5,59.25
4.60E+08,2015,1,-2.5,58.75
4.60E+09,2015,1,-1.5,58.75
4.60E+10,2015,1,-0.5,58.75
46F0,2015,1,0.5,58.75
46F1,2015,1,1.5,58.75
46F2,2015,1,2.5,58.75
46F3,2015,1,3.5,58.75
46F4,2015,1,4.5,58.75
46F5,2015,1,5.5,58.75
46F6,2015,1,6.5,58.75
4.50E+07,2015,1,-3.5,58.25
4.50E+08,2015,1,-2.5,58.25
4.50E+09,2015,1,-1.5,58.25
4.50E+10,2015,1,-0.5,58.25
45F0,2015,1,0.5,58.25
45F1,2015,1,1.5,58.25
45F2,2015,1,2.5,58.25
45F3,2015,1,3.5,58.25
45F4,2015,1,4.5,58.25
45F5,2015,1,5.5,58.25
45F6,2015,1,6.5,58.25
45F7,2015,1,7.5,58.25
4.40E+07,2015,1,-3.5,57.75
4.40E+08,2015,1,-2.5,57.75
4.40E+09,2015,1,-1.5,57.75
4.40E+10,2015,1,-0.5,57.75
44F0,2015,1,0.5,57.75
44F1,2015,1,1.5,57.75
44F2,2015,1,2.5,57.75
44F3,2015,1,3.5,57.75
44F4,2015,1,4.5,57.75
44F5,2015,1,5.5,57.75
44F6,2015,1,6.5,57.75
44F7,2015,1,7.5,57.75
4.30E+08,2015,1,-2.5,57.25
4.30E+09,2015,1,-1.5,57.25
4.30E+10,2015,1,-0.5,57.25
43F0,2015,1,0.5,57.25
43F1,2015,1,1.5,57.25
43F2,2015,1,2.5,57.25
43F3,2015,1,3.5,57.25
43F4,2015,1,4.5,57.25
43F5,2015,1,5.5,57.25
43F6,2015,1,6.5,57.25
43F7,2015,1,7.5,57.25
4.20E+08,2015,1,-2.5,56.75
4.20E+09,2015,1,-1.5,56.75
4.20E+10,2015,1,-0.5,56.75
42F0,2015,1,0.5,56.75
42F1,2015,1,1.5,56.75
42F2,2015,1,2.5,56.75
42F3,2015,1,3.5,56.75
42F4,2015,1,4.5,56.75
